,harga_emas
2025-08-25,1173277.7379
2025-08-26,1175765.0253
2025-08-27,1176641.2117
2025-08-28,1171845.7093
2025-08-29,1171737.3716
2025-09-01,1171963.4451
2025-09-02,1171972.6142
2025-09-03,1170879.8933
2025-09-04,1172322.1841
2025-09-05,1173855.0261
2025-09-08,1179371.0407
2025-09-09,1177757.6241
2025-09-10,1177372.9505
2025-09-11,1174380.9928
2025-09-12,1174083.1306
2025-09-15,1176267.191
2025-09-16,1177458.2005
2025-09-17,1176348.9019
2025-09-18,1174013.7759
2025-09-19,1177302.3515
2025-09-22,1177849.2247
2025-09-23,1179276.142
2025-09-24,1175119.8111
2025-09-25,1175642.3481
2025-09-26,1179119.6779
2025-09-29,1180716.9731
2025-09-30,1174491.3548
2025-10-01,1178179.0242
2025-10-02,1179394.5537
2025-10-03,1185017.3303
2025-10-06,1177512.2338
2025-10-07,1179698.1067
2025-10-08,1181835.2881
2025-10-09,1177453.3254
2025-10-10,1181018.5744
2025-10-13,1181609.9078
2025-10-14,1176661.2654
2025-10-15,1172286.9327
2025-10-16,1170351.4612
2025-10-17,1168172.6856
2025-10-20,1167533.9451
2025-10-21,1165388.8966
2025-10-22,1163898.4736
2025-10-23,1164746.6117
2025-10-24,1166499.5553
2025-10-27,1165039.3867
2025-10-28,1168000.4464
2025-10-29,1166216.2411
2025-10-30,1168599.2115
2025-10-31,1171420.1161
2025-11-03,1182560.5135
2025-11-04,1182796.6438
2025-11-05,1190893.9624
2025-11-06,1192479.5047
2025-11-07,1200463.7128
2025-11-10,1212892.7498
2025-11-11,1212161.978
2025-11-12,1222768.1794
2025-11-13,1226110.9284
2025-11-14,1219247.0821
2025-11-17,1195459.26
2025-11-18,1188310.5445
2025-11-19,1188299.6902
2025-11-20,1186105.9771
2025-11-21,1192760.4475
2025-11-24,1196186.3912
2025-11-25,1198377.2807
2025-11-26,1192677.1142
2025-11-27,1193901.0734
2025-11-28,1186495.475
2025-12-01,1186134.0425
2025-12-02,1185133.9154
2025-12-03,1181693.2374
2025-12-04,1194386.1967
2025-12-05,1194848.2737
2025-12-08,1191082.5525
2025-12-09,1180935.2148
2025-12-10,1179568.9524
2025-12-11,1176535.0512
2025-12-12,1176369.3303
2025-12-15,1175832.6679
2025-12-16,1174661.6584
2025-12-17,1172229.5948
