tanggal,harga_emas,kurs_jual,kurs_beli,data_inflasi,suku_bunga_bi,new_cases,new_deaths
2021-08-21,948000,,,0.0159,3.5,16744.0,1361.0
2021-08-23,946000,14536.32,14391.68,0.0159,3.5,9604.0,842.0
2021-08-24,953000,14487.08,14342.93,0.0159,3.5,19106.0,1038.0
2021-08-25,950000,14462.96,14319.05,0.0159,3.5,18671.0,1041.0
2021-08-26,942000,14480.04,14335.96,0.0159,3.5,16899.0,889.0
2021-08-27,942000,14495.12,14350.89,0.0159,3.5,12618.0,599.0
2021-08-28,951000,,,0.0159,3.5,10050.0,591.0
2021-08-29,951000,,,0.0159,3.5,7427.0,551.0
2021-08-30,951000,14503.16,14358.85,0.0159,3.5,5436.0,568.0
2021-08-31,944000,14445.87,14302.13,0.0159,3.5,10534.0,532.0
2021-09-01,941000,14377.53,14234.47,0.016,3.5,10337.0,653.0
2021-09-02,939000,14355.42,14212.58,0.016,3.5,8955.0,680.0
2021-09-03,937000,14352.41,14209.6,0.016,3.5,7797.0,574.0
2021-09-04,943000,,,0.016,3.5,6727.0,539.0
2021-09-05,943000,,,0.016,3.5,5403.0,392.0
2021-09-06,942000,14332.31,14189.7,0.016,3.5,4413.0,612.0
2021-09-07,940000,14310.2,14167.81,0.016,3.5,7201.0,683.0
2021-09-08,928000,14265.98,14124.03,0.016,3.5,6731.0,626.0
2021-09-09,930000,14337.33,14194.67,0.016,3.5,5990.0,334.0
2021-09-10,934000,14343.36,14200.64,0.016,3.5,5376.0,315.0
2021-09-11,929000,,,0.016,3.5,5001.0,270.0
2021-09-12,929000,,,0.016,3.5,3779.0,188.0
2021-09-13,929000,14296.13,14153.88,0.016,3.5,2577.0,276.0
2021-09-14,932000,14331.3,14188.7,0.016,3.5,4128.0,250.0
2021-09-15,936000,14328.29,14185.72,0.016,3.5,3948.0,267.0
2021-09-16,932000,14323.26,14180.74,0.016,3.5,3145.0,237.0
2021-09-17,918000,14309.19,14166.81,0.016,3.5,3835.0,219.0
2021-09-18,918000,,,0.016,3.5,3385.0,185.0
2021-09-19,918000,,,0.016,3.5,2234.0,145.0
2021-09-20,917000,14304.17,14161.84,0.016,3.5,1932.0,166.0
2021-09-21,922000,14322.26,14179.75,0.016,3.5,3263.0,171.0
2021-09-22,926000,14315.22,14172.78,0.016,3.5,2720.0,149.0
2021-09-23,924000,14320.25,14177.76,0.016,3.5,2881.0,160.0
2021-09-24,917000,14327.28,14184.72,0.016,3.5,2557.0,144.0
2021-09-25,918000,,,0.016,3.5,2137.0,123.0
2021-09-26,918000,,,0.016,3.5,1760.0,86.0
2021-09-27,918000,14321.25,14178.75,0.016,3.5,1390.0,118.0
2021-09-28,918000,14329.29,14186.71,0.016,3.5,2057.0,124.0
2021-09-29,913000,14340.35,14197.66,0.016,3.5,1954.0,117.0
2021-09-30,913000,14378.54,14235.47,0.016,3.5,1690.0,113.0
2021-10-01,922000,14392.61,14249.4,0.0166,3.5,1624.0,87.0
2021-10-02,923000,,,0.0166,3.5,1414.0,89.0
2021-10-03,923000,,,0.0166,3.5,1142.0,58.0
2021-10-04,924000,14386.58,14243.43,0.0166,3.5,922.0,88.0
2021-10-05,922000,14347.38,14204.62,0.0166,3.5,1404.0,77.0
2021-10-06,917000,14331.3,14188.7,0.0166,3.5,1484.0,75.0
