tanggal,harga_emas,kurs_dolar_rp
2015-08-08,476231.0,13536.0
2015-08-09,476231.0,13536.0
2015-08-10,481976.0,13536.0
2015-08-11,482720.0,13541.0
2015-08-12,497621.0,13758.0
2015-08-13,493688.0,13747.0
2015-08-14,493023.0,13763.0
2015-08-15,493067.0,13763.0
2015-08-16,493067.0,13763.0
2015-08-17,495280.0,13763.0
2015-08-18,496482.0,13831.0
2015-08-19,501875.0,13824.0
2015-08-20,512839.0,13838.0
2015-08-21,518257.0,13895.0
2015-08-22,518704.0,13895.0
2015-08-23,518704.0,13895.0
2015-08-24,520253.0,13998.0
2015-08-25,514768.0,14067.0
2015-08-26,510154.0,14102.0
2015-08-27,510550.0,14128.0
2015-08-28,511232.0,14011.0
2015-08-29,510826.0,14011.0
2015-08-30,510826.0,14011.0
2015-08-31,511545.0,14027.0
2015-09-01,516638.0,14081.0
2015-09-02,516009.0,14127.0
2015-09-03,511934.0,14160.0
2015-09-04,511035.0,14178.0
2015-09-05,511673.0,14178.0
2015-09-06,511673.0,14178.0
2015-09-07,512412.0,14234.0
2015-09-08,516499.0,14285.0
2015-09-09,504667.0,14244.0
2015-09-10,511759.0,14322.0
2015-09-11,508243.0,14306.0
2015-09-12,509807.0,14306.0
2015-09-13,509807.0,14306.0
2015-09-14,511114.0,14322.0
2015-09-15,510044.0,14371.0
2015-09-16,522036.0,14442.0
2015-09-17,519377.0,14452.0
2015-09-18,529584.0,14463.0
2015-09-19,530375.0,14463.0
2015-09-20,530375.0,14463.0
2015-09-21,526822.0,14451.0
2015-09-22,524418.0,14486.0
2015-09-23,532669.0,14623.0
2015-09-24,542636.0,14623.0
2015-09-25,541627.0,14690.0
2015-09-26,541863.0,14690.0
2015-09-27,541863.0,14690.0
2015-09-28,536084.0,14696.0
2015-09-29,535973.0,14728.0
2015-09-30,525708.0,14657.0
2015-10-01,525600.0,14654.0
2015-10-02,537362.0,14709.0
2015-10-03,538639.0,14709.0
2015-10-04,538639.0,14709.0
2015-10-05,533057.0,14604.0
2015-10-06,530826.0,14382.0
2015-10-07,518312.0,14065.0
2015-10-08,508212.0,13809.0
2015-10-09,504307.0,13521.0
2015-10-10,502786.0,13521.0
2015-10-11,502786.0,13521.0
2015-10-12,504118.0,13466.0
2015-10-13,508178.0,13557.0
2015-10-14,513583.0,13557.0
2015-10-15,507878.0,13288.0
2015-10-16,514583.0,13534.0
2015-10-17,512407.0,13534.0
2015-10-18,512407.0,13534.0
2015-10-19,511543.0,13563.0
2015-10-20,516281.0,13634.0
2015-10-21,514005.0,13696.0
2015-10-22,511947.0,13640.0
2015-10-23,504576.0,13491.0
2015-10-24,505140.0,13491.0
2015-10-25,505140.0,13491.0
2015-10-26,511797.0,13643.0
2015-10-27,510984.0,13626.0
2015-10-28,516743.0,13630.0
2015-10-29,500822.0,13562.0
2015-10-30,503096.0,13639.0
2015-10-31,503096.0,13639.0
2015-11-01,503096.0,13639.0
2015-11-02,499535.0,13682.0
2015-11-03,490335.0,13594.0
2015-11-04,482075.0,13461.0
2015-11-05,483968.0,13603.0
2015-11-06,474589.0,13550.0
2015-11-07,474676.0,13550.0
2015-11-08,474676.0,13550.0
2015-11-09,479740.0,13687.0
2015-11-10,478363.0,13619.0
2015-11-11,474714.0,13576.0
2015-11-12,471580.0,13575.0
2015-11-13,474516.0,13633.0
2015-11-14,475042.0,13633.0
2015-11-15,475042.0,13633.0
